CORP ID,Company Name,SSN/GID,Participant Name,GID,Account No.,Employee No.,Transaction Category,Certification Status at Transaction,Current Certification Status,Smart Sample Scenario #,Smart Sample Description
9GC,Manulife Financial Corporation,212270475,PETRA COGGIN,,CS01032442,0002782475MG,Long Shares Sale,W8 Certified,W8 Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,233152387,HERMES RUDDER,,CS00016580,0000052275MG,RS Release,Not Certified,W8 Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,233152387,HERMES RUDDER,,CS00016580,0000052275MG,RS Release,W8 Certified,W8 Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,401053755,DOERING HARPER,,CS00057592,0000065891MG,RS Release,Not Certified,Not Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,401053755,DOERING HARPER,,CS00057592,0000065891MG,Long Shares Sale,Not Certified,Not Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,401053755,DOERING HARPER,,CS00057592,0000065891MG,RS Release,W8 Certified,Not Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,469095018,LUNG HALIBURTON,,CS00438313,0000064740MG,Long Shares Sale,W8 Certified,Not Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,501063350,CS1 QA,,CSA001772E,qacs1,RS Release,W9 Certified,W9 Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,501063350,CS1 QA,,CSA001772E,qacs1,Option Exercise,Not Certified,W9 Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,501063350,CS1 QA,,CSA001772E,qacs1,Option Exercise,W9 Certified,W9 Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,501171195,FRANCISCO PEGG,,CS00430907,0000060770MG,RS Release,Not Certified,Not Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,501171195,FRANCISCO PEGG,,CS00430907,0000060770MG,RS Release,W8 Certified,Not Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,501171195,FRANCISCO PEGG,,CS00430907,0000060770MG,Long Shares Sale,Not Certified,Not Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,,KUCERA TWANDA,,CS01547872,0006512313MG,Long Shares Sale,W8 Certified,W8 Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,,TWANA COGDELL,,CS01575282,0006722627MG,Long Shares Sale,W8 Certified,W8 Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,,GALAN HOA,,CS01716113,0007027952MG,Long Shares Sale,W9 Certified,W9 Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,,GLEESON SOILA,,CS01618396,0006731106MG,Long Shares Sale,W9 Certified,W9 Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,,AGUSTINA KARN,,CS01577410,0006752372MG,Long Shares Sale,W8 Certified,W8 Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,,MILER DITTO,,CS01606837,0007516045MG,Long Shares Sale,W8 Certified,W8 Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,,GREENWOOD FOOTE,,CS01594125,0007513506MG,Long Shares Sale,W9 Certified,W9 Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,,HIPPS STARNES,,CS01926043,0006515431MG,Long Shares Sale,W8 Certified,W8 Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,,BUCKLIN ENGLUND,,CS01547375,0006597081MG,Long Shares Sale,W8 Certified,W8 Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,,BORKOWSKI HERMINA,,CS02271501,0006821610MG,Long Shares Sale,W9 Certified,W9 Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,,ZIMMERMANN HATCHER,,CS01734410,0006559816MG,Long Shares Sale,W8 Certified,W8 Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,,ANDRESS JOB,,CS01696828,0006711709MG,Long Shares Sale,W8 Certified,W8 Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,,LEIGHANN PASTY,,CS01599639,0009210000MG,Long Shares Sale,W9 Certified,W9 Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,,HANDY BALOGH,,CS01770091,0006666528MG,Long Shares Sale,W8 Certified,W8 Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,,ABBIE DERRYBERRY,,CS01576945,0004013964MG,Long Shares Sale,W8 Certified,W8 Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,,KNOWLTON CANDLER,,CS01643334,0006755572MG,Long Shares Sale,W9 Certified,W9 Certified,35,SHORT TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,233152387,HERMES RUDDER,,CS00016580,0000052275MG,Long Shares Sale,W9 Certified,W8 Certified,37,LONG TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,233152387,HERMES RUDDER,,CS00016580,0000052275MG,Long Shares Sale,Not Certified,W8 Certified,37,LONG TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,401053755,DOERING HARPER,,CS00057592,0000065891MG,Long Shares Sale,W8 Certified,Not Certified,37,LONG TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,401053755,DOERING HARPER,,CS00057592,0000065891MG,Long Shares Sale,W9 Certified,Not Certified,37,LONG TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,401053755,DOERING HARPER,,CS00057592,0000065891MG,Long Shares Sale,Not Certified,Not Certified,37,LONG TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,469095018,LUNG HALIBURTON,,CS00438313,0000064740MG,Long Shares Sale,Not Certified,Not Certified,37,LONG TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,501171195,FRANCISCO PEGG,,CS00430907,0000060770MG,Long Shares Sale,Not Certified,Not Certified,37,LONG TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,528867690,CS4 QA,,CSB005DC26,qacs4,Long Shares Sale,W9 Certified,W9 Certified,37,LONG TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,,GLEESON SOILA,,CS01618396,0006731106MG,Long Shares Sale,W9 Certified,W9 Certified,37,LONG TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,,GALAN HOA,,CS01716113,0007027952MG,Long Shares Sale,W9 Certified,W9 Certified,37,LONG TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,,LEIGHANN PASTY,,CS01599639,0009210000MG,Long Shares Sale,W9 Certified,W9 Certified,37,LONG TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,,KNOWLTON CANDLER,,CS01643334,0006755572MG,Long Shares Sale,W9 Certified,W9 Certified,37,LONG TERM - COVERED SECURITIES
9GC,Manulife Financial Corporation,001448609,THERON STOLZ,,CS00985389,0001610800MG,Long Shares Sale,W8 Certified,W8 Certified,50,TAX LOTS WITH MISSING COST
9GC,Manulife Financial Corporation,212270475,PETRA COGGIN,,CS01032442,0002782475MG,Long Shares Sale,W8 Certified,W8 Certified,50,TAX LOTS WITH MISSING COST
9GC,Manulife Financial Corporation,401053755,DOERING HARPER,,CS00057592,0000065891MG,Long Shares Sale,Not Certified,Not Certified,50,TAX LOTS WITH MISSING COST
9GC,Manulife Financial Corporation,469095018,LUNG HALIBURTON,,CS00438313,0000064740MG,Long Shares Sale,W8 Certified,Not Certified,50,TAX LOTS WITH MISSING COST
9GC,Manulife Financial Corporation,501171195,FRANCISCO PEGG,,CS00430907,0000060770MG,Long Shares Sale,Not Certified,Not Certified,50,TAX LOTS WITH MISSING COST
9GC,Manulife Financial Corporation,,MILER DITTO,,CS01606837,0007516045MG,Long Shares Sale,W8 Certified,W8 Certified,50,TAX LOTS WITH MISSING COST
9GC,Manulife Financial Corporation,,TWANA COGDELL,,CS01575282,0006722627MG,Long Shares Sale,W8 Certified,W8 Certified,50,TAX LOTS WITH MISSING COST
9GC,Manulife Financial Corporation,,AGUSTINA KARN,,CS01577410,0006752372MG,Long Shares Sale,W8 Certified,W8 Certified,50,TAX LOTS WITH MISSING COST
9GC,Manulife Financial Corporation,,BUCKLIN ENGLUND,,CS01547375,0006597081MG,Long Shares Sale,W8 Certified,W8 Certified,50,TAX LOTS WITH MISSING COST
9GC,Manulife Financial Corporation,,HIPPS STARNES,,CS01926043,0006515431MG,Long Shares Sale,W8 Certified,W8 Certified,50,TAX LOTS WITH MISSING COST
9GC,Manulife Financial Corporation,,ZIMMERMANN HATCHER,,CS01734410,0006559816MG,Long Shares Sale,W8 Certified,W8 Certified,50,TAX LOTS WITH MISSING COST
9GC,Manulife Financial Corporation,,HANDY BALOGH,,CS01770091,0006666528MG,Long Shares Sale,W8 Certified,W8 Certified,50,TAX LOTS WITH MISSING COST
9GC,Manulife Financial Corporation,,ABBIE DERRYBERRY,,CS01576945,0004013964MG,Long Shares Sale,W8 Certified,W8 Certified,50,TAX LOTS WITH MISSING COST
9GC,Manulife Financial Corporation,,KUCERA TWANDA,,CS01547872,0006512313MG,Long Shares Sale,W8 Certified,W8 Certified,50,TAX LOTS WITH MISSING COST
9GC,Manulife Financial Corporation,,ANDRESS JOB,,CS01696828,0006711709MG,Long Shares Sale,W8 Certified,W8 Certified,50,TAX LOTS WITH MISSING COST
